"Date","IsHoliday","Weekly_Sales"
"01/04/2011","FALSE",43458991.19
"01/06/2012","FALSE",48281649.72
"01/07/2011","FALSE",47578519.5
"01/10/2010","FALSE",42239875.87
"02/03/2012","FALSE",46861034.97
"02/04/2010","FALSE",50423831.26
"02/07/2010","FALSE",48917484.5
"02/09/2011","FALSE",45376623.27
"02/12/2011","FALSE",49390556.49
"03/02/2012","FALSE",46085608.09
"03/06/2011","FALSE",48771994.18
"03/08/2012","FALSE",47485899.56
"03/09/2010","FALSE",47194257.61
"03/12/2010","FALSE",49909027.88
"04/02/2011","FALSE",46153111.12
"04/03/2011","FALSE",46980603.74
"04/05/2012","FALSE",47124197.93
"04/06/2010","FALSE",50188543.12
"04/11/2011","FALSE",48655544.3
"05/02/2010","FALSE",49750740.5
"05/03/2010","FALSE",46871470.3
"05/08/2011","FALSE",48015466.97
"05/10/2012","FALSE",47566639.31
"05/11/2010","FALSE",45781981.89
"06/01/2012","FALSE",44955421.95
"06/04/2012","FALSE",53502315.87
"06/05/2011","FALSE",46861958.29
"06/07/2012","FALSE",51253021.88
"06/08/2010","FALSE",48204999.12
"07/01/2011","FALSE",42775787.77
"07/05/2010","FALSE",48503243.52
"07/09/2012","TRUE",48330059.31
"07/10/2011","FALSE",47211688.36
"08/04/2011","FALSE",45887466.8
"08/06/2012","FALSE",49651171.78
"08/07/2011","FALSE",47859263.78
"08/10/2010","FALSE",45102974.23
"09/03/2012","FALSE",47480454.11
"09/04/2010","FALSE",47365290.44
"09/07/2010","FALSE",47899529.37
"09/09/2011","TRUE",46763227.53
"09/12/2011","FALSE",55561147.7
"10/02/2012","TRUE",50009407.92
"10/06/2011","FALSE",47669734.66
"10/08/2012","FALSE",47403451.04
"10/09/2010","TRUE",45634397.84
"10/12/2010","FALSE",55666770.39
"11/02/2011","TRUE",47336192.79
"11/03/2011","FALSE",44627319.4
"11/05/2012","FALSE",46925878.99
"11/06/2010","FALSE",47826546.72
"11/11/2011","FALSE",48474224.75
"12/02/2010","TRUE",48336677.63
"12/03/2010","FALSE",45925396.51
"12/08/2011","FALSE",46249569.21
"12/10/2012","FALSE",46128514.25
"12/11/2010","FALSE",46124800.83
"13/01/2012","FALSE",42023078.48
"13/04/2012","FALSE",46629261.41
"13/05/2011","FALSE",45446144.82
"13/07/2012","FALSE",46099732.1
"13/08/2010","FALSE",46464418.41
"14/01/2011","FALSE",40673678.04
"14/05/2010","FALSE",45330080.2
"14/09/2012","FALSE",44226038.65
"14/10/2011","FALSE",44374820.3
"15/04/2011","FALSE",44973328.14
"15/06/2012","FALSE",48412110.7
"15/07/2011","FALSE",45515929.92
"15/10/2010","FALSE",43149473.45
"16/03/2012","FALSE",46901504.94
"16/04/2010","FALSE",45183667.08
"16/07/2010","FALSE",46243899.58
"16/09/2011","FALSE",43793960.08
"16/12/2011","FALSE",60085695.94
"17/02/2012","FALSE",50197056.96
"17/06/2011","FALSE",47447561.77
"17/08/2012","FALSE",47354452.05
"17/09/2010","FALSE",43080726.51
"17/12/2010","FALSE",61820799.85
"18/02/2011","FALSE",48716164.12
"18/03/2011","FALSE",44872325.97
"18/05/2012","FALSE",46823939.22
"18/06/2010","FALSE",47622046.23
"18/11/2011","FALSE",46438980.56
"19/02/2010","FALSE",48276993.78
"19/03/2010","FALSE",44988974.64
"19/08/2011","FALSE",46917347.62
"19/10/2012","FALSE",45122410.57
"19/11/2010","FALSE",45125584.18
"20/01/2012","FALSE",42080996.56
"20/04/2012","FALSE",45072529.78
"20/05/2011","FALSE",44046598.01
"20/07/2012","FALSE",46059543.45
"20/08/2010","FALSE",47060952.92
"21/01/2011","FALSE",40654648.03
"21/05/2010","FALSE",45120108.06
"21/09/2012","FALSE",44354547.11
"21/10/2011","FALSE",45818953.44
"22/04/2011","FALSE",48676692.06
"22/06/2012","FALSE",47668284.97
"22/07/2011","FALSE",45274411.39
"22/10/2010","FALSE",43066669.52
"23/03/2012","FALSE",44993794.45
"23/04/2010","FALSE",44734452.56
"23/07/2010","FALSE",44888849.11
"23/09/2011","FALSE",42718096.73
"23/12/2011","FALSE",76998241.31
"24/02/2012","FALSE",45771506.57
"24/06/2011","FALSE",45884094.58
"24/08/2012","FALSE",47447323.6
"24/09/2010","FALSE",41358514.41
"24/12/2010","FALSE",80931415.6
"25/02/2011","FALSE",44125859.84
"25/03/2011","FALSE",42876199.18
"25/05/2012","FALSE",47892463.31
"25/06/2010","FALSE",46609036.29
"25/11/2011","TRUE",66593605.26
"26/02/2010","FALSE",43968571.13
"26/03/2010","FALSE",44133961.05
"26/08/2011","FALSE",47416948.45
"26/10/2012","FALSE",45544116.29
"26/11/2010","TRUE",65821003.24
"27/01/2012","FALSE",39834974.67
"27/04/2012","FALSE",43716798.89
"27/05/2011","FALSE",45293457.04
"27/07/2012","FALSE",44097154.97
"27/08/2010","FALSE",45909740.44
"28/01/2011","FALSE",39599852.99
"28/05/2010","FALSE",47757502.56
"28/09/2012","FALSE",43734899.4
"28/10/2011","FALSE",45855821.05
"29/04/2011","FALSE",43530032.78
"29/06/2012","FALSE",46597112.12
"29/07/2011","FALSE",43683274.28
"29/10/2010","FALSE",43602830.95
"30/03/2012","FALSE",45272862.02
"30/04/2010","FALSE",43705126.71
"30/07/2010","FALSE",44630363.42
"30/09/2011","FALSE",42195830.81
"30/12/2011","TRUE",46042461.04
"31/08/2012","FALSE",47159639.43
"31/12/2010","TRUE",40432519
